Year,Month,Day,Hour,Minute,Second,Country,State,Location,Lat,Lon,RegionCode,MaxWaterHeight,MagIIDA,IntensitySoloviev,WarningStatus,DeathCount
1906,5,7,,,,CHILE,,NORTHERN CHILE,-18.50,-70.30,89.00,,,,,
1906,5,25,,,,EL SALVADOR,,OFF COAST,13.25,-88.83,88.00,,,,,
1906,7,1,,,,"MARSHALL ISLANDS, REP. OF",,MARSHALL ISLANDS,,,81.00,,,,,
1906,8,7,,,,USA,CA,S. CALIFORNIA,33.90,-117.00,88.00,0.02,,,,
1906,8,17,0,40,,CHILE,,CENTRAL CHILE,-33.00,-72.00,89.00,3.50,1.80,2.00,,4000.00
1906,9,14,16,4,18,PAPUA NEW GUINEA,,SOLOMON SEA,-7.00,149.00,82.00,1.50,0.60,1.50,,
1906,10,2,1,50,,PAPUA NEW GUINEA,,BISMARCK SEA,-4.00,149.00,82.00,1.20,,1.50,,
1906,11,6,,,,USA,WA,WASHINGTON-OREGON,,,88.00,,,,,
1906,11,20,21,0,,GHANA,,GOLD COAST,6.50,0.30,77.00,,,,,
1906,11,28,,,,SAMOA,,MATAVANU VOLCANO,-13.61,-172.53,81.00,,,,,
1906,12,26,6,53,28,PERU,,S. PERU,-18.00,-71.00,89.00,,,,,
1906,,,,,,VENEZUELA,,MAIQUETIA,10.60,-66.95,74.00,,,,,
1907,1,4,5,19,12,INDONESIA,,NW. SUMATRA,2.00,94.50,60.00,,1.50,2.00,,400.00
1907,1,14,21,36,,JAMAICA,,JAMAICA,18.00,-76.80,74.00,2.50,1.30,,,1000.00
1907,3,29,20,46,30,INDONESIA,,"KARAKELONG, TALAUD ISLANDS",3.00,122.00,83.00,4.00,2.00,2.00,,
1907,4,14,6,8,6,MEXICO,,S. MEXICO,17.00,-100.00,88.00,2.00,1.00,,,8.00
1907,6,8,,,,SAMOA,,MATAVANU VOLCANO,-13.61,-172.53,81.00,,,,,
1907,6,19,,,,SAMOA,,MATAVANU VOLCANO,-13.61,-172.53,81.00,,,,,
1907,6,27,,,,SAMOA,,MATAVANU VOLCANO,-13.61,-172.53,81.00,,,,,
1907,7,9,,,,SAMOA,,MATAVANU VOLCANO,-13.61,-172.53,81.00,,,,,
1907,7,25,,,,SAMOA,,MATAVANU VOLCANO,-13.61,-172.53,81.00,,,,,
1907,7,,,,,TONGA,,TONGA ISLANDS,-21.38,-175.65,81.00,,,0.50,,
1907,9,24,12,58,0,USA,AK,"SKAGWAY, AK",59.50,-135.50,87.00,0.70,-0.50,0.00,,
1907,10,6,,,,SAMOA,,MATAVANU VOLCANO,-13.61,-172.53,81.00,3.60,,,,
1907,10,23,20,28,19,ITALY,,IONIAN CALABRIA,38.13,16.02,50.00,,,3.00,,158.00
1907,12,15,17,35,,PAPUA NEW GUINEA,,BISMARCK SEA,-3.10,142.50,82.00,,,,,
1908,2,6,,,,INDONESIA,,SW. SUMATRA,-2.00,100.00,60.00,1.40,0.50,1.00,,
1908,2,14,11,25,0,USA,AK,"PRINCE WILLIAM SOUND, AK",61.00,-146.20,87.00,,,,,
1908,3,23,12,20,,INDONESIA,,TIMOR SEA,-10.00,129.00,60.00,,,,,
1908,4,6,,,,CANADA,QC,NOTRE DAME DE LA SALETTE,45.77,-75.60,75.00,15.00,,,,33.00
1908,5,31,,,,UKRAINE,,CRIMEA,44.00,34.00,40.00,,,,,
1908,9,11,,,,CANADA,QC,GULF OF SAINT LAWRENCE,48.96,-62.13,75.00,,,,,
1908,9,21,6,31,,USA,HI,HAWAII,19.00,-155.00,80.00,1.20,-0.50,0.00,,
1908,12,12,12,8,,PERU,,S. PERU,-14.00,-78.00,89.00,,,,,
1908,12,28,4,20,27,ITALY,,"MESSINA STRAIT, IONIAN SEA",38.17,15.58,50.00,13.00,,5.00,,80000.00
1909,3,7,,,,COOK ISLANDS,,RAROTONGA,-21.00,-159.00,81.00,3.00,,,,
1909,3,12,23,19,,JAPAN,,OFF BOSO PENINSULA,34.50,141.50,85.00,,-1.00,,,
1909,3,13,14,29,,JAPAN,,OFF BOSO PENINSULA,34.50,141.50,85.00,,-1.00,,,
1909,6,3,18,40,48,INDONESIA,,SUMATRA,-2.00,101.00,60.00,,0.50,1.00,,
1909,6,8,5,46,30,CHILE,,NORTHERN CHILE,-26.50,-70.50,89.00,,,,,
1909,7,8,,,,VANUATU,,VANUATU ISLANDS,-15.50,167.20,82.00,,,,,
1909,7,30,10,51,54,MEXICO,,S. MEXICO,16.80,-99.80,88.00,9.00,3.20,,,
1909,8,14,6,30,0,JAPAN,,"ANEGAWA, JAPAN",35.40,136.30,85.00,1.80,1.00,,,41.00
1909,9,20,,,,USA,LA,LOUISIANA: GRAND ISLE,,,75.00,,,,,300.00
1909,12,9,23,28,,USA TERRITORY,GU,"GUAM, MARIANA ISLANDS",12.50,145.00,81.00,,,,,
1910,2,25,,,,PAPUA NEW GUINEA,,MATUPI HARBOR,-4.25,152.25,82.00,,,0.00,,
1910,3,20,,,,NEW ZEALAND,,"LAKE TAUPO, NORTH ISLAND",,,81.00,,,,,
1910,11,5,,,,USA,AK,"NOME, AK",64.00,-165.00,87.00,,,,,
1910,11,10,12,19,54,VANUATU,,VANUATU ISLANDS,-14.00,166.50,82.00,,,,,
1910,11,21,12,45,,USA,CA,"SAN FRANCISCO, CA",,,88.00,0.30,,-1.50,,
1910,12,18,2,42,,INDONESIA,,SULAWESI,4.00,127.00,83.00,,-1.30,-1.00,,
1910,12,30,,,,PHILIPPINES,,SULU SEA,9.00,125.50,84.00,,,1.00,,
1911,1,30,,,,PHILIPPINES,,"TAAL, LUZON ISLAND",14.00,120.99,84.00,3.00,,,,1335.00
1911,2,18,21,35,12,ALBANIA,,OCHRIDA LAKE,40.90,20.80,50.00,,,,,
1911,5,8,,,,PAPUA NEW GUINEA,,"BLANCHE BAY, BISMARCK SEA",-4.25,152.25,82.00,,,0.00,,
1911,5,11,,,,TOGO,,GOLD COAST,6.10,1.20,77.00,5.00,,,,
1911,6,15,14,26,,JAPAN,,RYUKYU ISLANDS,28.00,130.00,85.00,,1.00,1.50,,12.00
1911,7,12,4,7,36,PHILIPPINES,,PHILIPPINE TRENCH,9.00,126.00,84.00,,,,,
1911,9,15,13,10,,CHILE,,NORTHERN CHILE,-20.00,-72.00,89.00,,,,,
1911,9,22,5,1,24,USA,AK,"PRINCE WILLIAM SOUND, AK",60.50,-149.00,87.00,,,0.50,,
1911,11,3,,,,TRINIDAD AND TOBAGO,,TRINIDAD,10.50,-61.20,74.00,,,,,
1912,1,24,16,22,51,GREECE,,IONIAN SEA,38.12,20.67,50.00,,,,,
1912,4,13,,,,USA,OH,"SOUTHERN SHORE, LAKE ERIE (OHIO)",42.00,-81.00,75.00,,,,,
1912,6,8,4,42,,JAPAN,,SANRIKU,40.50,142.00,85.00,0.50,-1.00,0.00,,
1912,8,9,1,29,,TURKEY,,MARMARA SEA,40.50,27.20,50.00,,,,,
1912,10,31,17,24,,"MICRONESIA, FED. STATES OF",,CAROLINE ISLANDS,7.00,138.00,81.00,,,0.00,,
1912,12,6,,,,"MICRONESIA, FED. STATES OF",,"YAP ISLANDS, CAROLINE ISLANDS",,,81.00,,,0.50,,
1913,2,22,1,6,,NEW ZEALAND,,TASMAN SEA,-41.80,171.50,81.00,1.50,0.60,0.50,,
1913,3,14,8,45,4,INDONESIA,,SANGIHE ISLAND,5.35,126.12,83.00,,,,,138.00
1913,6,9,,,,USA,NJ,"LONGPORT, NJ",39.31,-74.53,75.00,,,,,
1913,7,28,6,40,,PERU,,S. PERU,-16.60,-73.30,89.00,,,,,
1913,8,6,22,14,24,PERU,,S. PERU,-17.00,-74.00,89.00,,,,,
1913,10,2,4,23,28,PANAMA,,OFF COAST,7.10,-80.60,88.00,,,,,
1913,10,11,4,6,3,PAPUA NEW GUINEA,,SOLOMON SEA,-7.00,148.00,82.00,0.10,-3.30,,,
1913,12,11,,,,USA,CA,"SANTA BARBARA, S. CALIFORNIA",,,88.00,4.50,,,,
1914,1,12,9,28,,JAPAN,,SEIKAIDO,31.58,130.67,85.00,3.00,1.60,-1.00,,63.00
1914,1,12,,,,PERU,,CENTRAL PERU,-12.00,-76.60,89.00,1.00,,1.50,,
1914,1,15,4,28,,ITALY,,LIGURIAN SEA,43.50,10.20,50.00,,,2.00,,
1914,2,26,4,58,12,PERU,,S. PERU,-17.00,-72.00,89.00,,,,,
1914,3,14,,,,INDONESIA,,INDONESIA,,,83.00,,,,,
1914,5,26,14,22,48,INDONESIA,,NW. IRIAN JAYA,-1.83,136.94,83.00,0.10,1.50,2.00,,
1914,5,,,,,CANADA,NS,GULF OF SAINT LAWRENCE,48.96,-62.13,75.00,,,,,
1914,6,25,19,7,26,INDONESIA,,INDONESIA,-3.92,101.82,60.00,,,,,20.00
1914,10,6,19,15,,NEW ZEALAND,,"TOLAGA BAY, NORTH ISLAND",-37.80,178.20,81.00,,,,,1.00
1914,11,27,14,39,46,GREECE,,IONIAN SEA,38.80,20.60,50.00,3.00,1.70,4.00,,14.00
1914,12,3,,,,INDONESIA,,AMBON ISLAND,-3.70,128.20,83.00,,,0.00,,
1915,1,27,1,9,56,GREECE,,IONIAN SEA,38.40,20.60,50.00,,,,,
1915,2,11,,,,USA TERRITORY,AS,"MANUA ISLANDS, AMERICAN SAMOA",-14.18,-169.66,81.00,2.40,,,,3.00
1915,5,23,,,,INDONESIA,,KAIMANA,-3.64,133.70,83.00,0.50,,0.00,,
1915,8,7,15,4,3,GREECE,,IONIAN SEA,38.50,20.70,50.00,1.50,,3.00,,
1915,8,,,,,PAPUA NEW GUINEA,,"HUON GULF, SOLOMON SEA",,,82.00,,,,,
1915,9,7,1,20,48,EL SALVADOR,,EL SALVADOR,14.00,-89.00,88.00,,,0.50,,
1915,11,1,7,23,43,JAPAN,,SANRIKU,38.30,142.90,85.00,1.00,,0.50,,
1915,11,6,,,,INDONESIA,,NW. IRIAN JAYA,-1.00,136.00,83.00,,,0.00,,
1915,11,18,20,19,18,PHILIPPINES,,W. LUZON ISLAND,18.00,119.50,84.00,,,0.50,,
1916,1,1,13,20,49,PAPUA NEW GUINEA,,BISMARCK SEA,-4.74,152.55,82.00,,1.50,2.00,,
1916,1,31,,,,COSTA RICA,,COSTA RICA-PANAMA,,,88.00,,2.20,,,
1916,4,26,2,21,52,PANAMA,,BOCAS DEL TORO,9.60,-82.00,74.00,1.30,,,,
1916,7,3,23,21,41,ITALY,,STROMBOLI ISLAND,38.82,15.23,50.00,10.00,,4.00,,
1916,8,16,7,6,,ITALY,,CENTRAL ADRIATIC,43.97,12.67,50.00,,,2.00,,
1916,11,12,,,,VENEZUELA,,OCUMARE DE LA COSTA DE ORO,10.46,-67.77,74.00,,,,,
1917,1,9,,,,INDONESIA,,CELEBES SEA,1.57,122.72,83.00,,,2.00,,
1917,1,20,23,11,34,INDONESIA,,BALI SEA,-7.00,116.00,60.00,2.00,1.00,,,1500.00
1917,1,25,,,,CHINA,,SOUTH CHINA SEA,24.47,118.08,84.00,,1.00,1.00,,
1917,1,30,2,45,36,RUSSIA,,KAMCHATKA,56.50,163.00,86.00,,,,,
1917,1,31,3,39,55,PHILIPPINES,,CELEBES SEA,6.00,125.00,84.00,1.50,0.60,,,7.00
1917,1,,,,,INDONESIA,,LINGA ARCHIPELAGO,-0.25,104.50,60.00,,,1.50,,
1917,3,16,,,,INDONESIA,,JAVA SEA,-3.70,116.60,60.00,1.50,,1.00,,
1917,5,1,18,27,,NEW ZEALAND,,KERMADEC ISLANDS,-29.20,-177.00,81.00,0.30,3.60,3.00,,
1917,5,6,12,19,,TAIWAN,,TAIWAN,23.20,121.60,84.00,0.50,-1.00,-0.50,,
1917,6,26,5,49,42,SAMOA,,SAMOA ISLANDS,-15.50,-173.00,81.00,12.20,3.60,3.00,,2.00
1917,7,29,21,52,31,PAPUA NEW GUINEA,,BISMARCK SEA,-3.71,141.73,82.00,0.90,,1.00,,
1917,8,16,,,,USA,AK,"TAKU INLET, JUNEAU, AK",58.20,-134.15,87.00,2.40,,,,1.00
1917,8,23,,,,INDONESIA,,BANDA SEA,-3.60,128.70,83.00,,,0.50,,
1917,9,1,,,,FRENCH POLYNESIA,,MAUPIHAA,,,81.00,1.90,,,,
1917,11,16,3,19,28,NEW ZEALAND,,KERMADEC ISLANDS,-29.00,-177.50,81.00,2.50,1.30,1.00,,
1917,12,6,13,4,,CANADA,NS,"HALIFAX, NOVA SCOTIA",44.63,-63.58,75.00,7.00,,,,2000.00
1918,2,13,6,7,13,CHINA,,GUANGDONG PROVINCE,23.50,117.20,84.00,,1.00,-1.00,,2000.00
1918,5,20,17,55,10,CHILE,,NORTHERN CHILE,-28.50,-71.50,89.00,,,,,
1918,7,18,2,30,,INDONESIA,,SULAWESI,3.14,125.49,83.00,0.08,,0.00,,
1918,8,14,,,,CHINA,,YUNNAN PROVINCE,26.90,103.00,84.00,,,,,
1918,8,15,12,18,12,PHILIPPINES,,CELEBES SEA,5.50,123.00,84.00,7.20,2.80,2.50,,52.00
1918,9,7,17,16,,RUSSIA,,S. KURIL ISLANDS,45.50,151.50,86.00,12.00,3.60,3.00,,23.00
1918,10,11,14,14,30,USA TERRITORY,PR,PUERTO RICO: MONA PASSAGE,18.50,-67.50,74.00,6.10,2.60,,,144.00
1918,10,25,3,43,,USA TERRITORY,PR,PUERTO RICO,18.50,-67.50,74.00,,,,,
1918,11,8,4,38,,RUSSIA,,S. KURIL ISLANDS,44.50,151.50,86.00,0.50,1.00,2.00,,
1918,12,4,11,47,48,CHILE,,NORTHERN CHILE,-26.00,-71.00,89.00,5.00,2.30,2.50,,
1918,,,,,,ICELAND,,ICELAND,,,73.00,,,,,
1919,1,1,1,33,42,PHILIPPINES,,"MINDANAO ISLAND, PHILIPPINES",8.00,126.00,84.00,0.44,-0.10,,,
1919,1,1,2,59,57,TONGA,,TONGA ISLANDS,-19.60,-176.60,81.00,0.40,,,,
1919,1,,,,,USA,HI,HAWAII,,,80.00,,,,,
1919,2,13,,,,INDONESIA,,TIMOR SEA,-9.00,124.85,60.00,,,1.50,,
1919,4,3,,,,INDONESIA,,SULAWESI,3.14,125.49,83.00,5.00,,,,
1919,4,9,,,,USA,HI,HAWAII,,,80.00,,,,,
1919,4,29,,,,TONGA,,TONGA ISLANDS,-19.00,-172.60,81.00,,,,,
1919,4,30,7,17,17,TONGA,,TONGA ISLANDS,-18.35,-172.52,81.00,2.50,1.30,1.50,,
1919,5,6,19,41,13,PAPUA NEW GUINEA,,SOLOMON SEA,-4.81,153.86,82.00,,2.60,1.00,,
1919,5,22,17,45,,ITALY,,STROMBOLI ISLAND,38.79,15.21,50.00,0.75,,4.00,,4.00
1919,6,29,23,14,13,NICARAGUA,,GULF OF FONSECA,12.33,-88.29,88.00,,,,,
1919,8,19,,,,VENEZUELA,,LAGO DE MARACAIBO,10.60,-71.60,74.00,,,,,
1919,10,2,,,,USA,HI,"ALIKA, HAWAII",19.23,-155.90,80.00,4.30,,2.00,,
1919,10,22,6,6,,ITALY,,TYRRHENIAN SEA,41.40,12.60,50.00,,,,,
1919,11,21,,,,INDONESIA,,NW. IRIAN JAYA,-2.55,140.75,83.00,,,,,
1919,12,26,,,,UKRAINE,,CRIMEA,44.00,33.00,40.00,,,,,
1920,1,29,,,,INDONESIA,,N. MOLUCCAS ISLANDS,0.87,122.92,83.00,2.00,1.00,1.00,,
1920,2,2,11,22,18,PAPUA NEW GUINEA,,SOLOMON SEA,-6.50,150.00,82.00,,,,,
1920,8,20,16,15,38,CHILE,,CENTRAL CHILE,-38.00,-73.50,89.00,1.40,0.50,1.00,,
1920,8,,,,,USA TERRITORY,AS,"PAGO PAGO, AMERICAN SAMOA",-15.00,-170.00,81.00,,,,,
1920,9,20,14,39,,VANUATU,,VANUATU ISLANDS,-19.92,168.53,82.00,,1.00,,,
1920,12,16,12,5,53,CHINA,,CHINA: GANSU AND SHANXI PROVINCES,36.70,104.90,84.00,0.75,,,,
1920,12,18,2,1,57,ALBANIA,,ALBANIAN COASTS,40.50,19.50,50.00,,,5.00,,
1921,5,14,11,17,45,INDONESIA,,MAKASSAR STRAIT,0.70,117.90,83.00,1.00,,0.50,,
1921,8,4,,,,CHINA,,"XIAOSI, DANDONG, LIAONING",40.13,124.38,84.00,,,,,
1921,9,11,4,1,38,INDONESIA,,JAVA,-11.00,111.00,60.00,0.10,-2.30,-2.00,,
1921,11,11,18,36,8,PHILIPPINES,,PHILIPPINE TRENCH,8.00,127.00,84.00,,0.50,1.00,,
1921,12,16,,,,USA,HI,HAWAII,,,80.00,,,0.00,,
1922,1,6,14,11,2,PERU,,S. PERU,-16.50,-73.00,89.00,,,,,
1922,1,19,21,58,59,PAPUA NEW GUINEA,,BISMARCK SEA,-7.11,143.53,82.00,1.80,,,,
1922,2,22,,,,INDONESIA,,BANDA SEA,-3.30,128.90,83.00,,,0.50,,
1922,2,27,20,39,50,PHILIPPINES,,CEBU ISLAND,10.20,124.10,84.00,0.70,-0.50,0.00,,5.00
1922,3,1,9,10,23,PHILIPPINES,,SULU SEA,9.00,123.25,84.00,,,0.50,,
1922,4,10,,,,INDONESIA,,SW. SUMATRA,-1.00,100.35,60.00,,,0.00,,
1922,5,2,,,,USA,TX,GULF OF MEXICO,,,76.00,0.64,,,,
1922,7,8,,,,INDONESIA,,"LHOKNGA, ACEH",5.50,95.20,60.00,,,0.00,,
1922,8,8,3,49,6,GREECE,,AEGEAN SEA,37.50,23.20,50.00,,,,,
1922,9,1,19,16,6,TAIWAN,,TAIWAN,24.50,122.00,84.00,,,,,5.00
1922,10,22,,,,AUSTRALIA,,TASMAN SEA,,,81.00,,,,,
1922,11,7,23,0,9,CHILE,,NORTHERN CHILE,-28.00,-72.00,89.00,,,,,
1922,11,11,4,32,36,CHILE,,NORTHERN CHILE,-28.55,-70.76,89.00,9.00,3.20,2.50,,700.00
1922,12,25,3,33,10,NEW ZEALAND,,SE. NEW ZEALAND,-43.00,173.00,81.00,0.40,,0.00,,
1923,1,22,9,4,18,USA,CA,N. CALIFORNIA,40.80,-124.50,88.00,0.10,-2.00,,,
1923,2,3,16,1,41,RUSSIA,,KAMCHATKA,54.00,161.00,86.00,8.00,3.00,,,3.00
1923,2,17,,,,CHILE,,CENTRAL CHILE,-35.33,-72.42,89.00,1.50,0.60,1.50,,
1923,3,2,16,48,52,PHILIPPINES,,"MINDANAO ISLAND, PHILIPPINES",6.50,124.00,84.00,,,0.50,,
1923,3,4,,,,CHILE,,SAN FELIX ISLAND,-26.30,-80.10,89.00,35.00,,4.00,,
1923,4,13,15,31,2,RUSSIA,,KAMCHATKA,56.50,162.50,86.00,20.00,4.90,3.50,,18.00
1923,5,4,22,26,45,CHILE,,NORTHERN CHILE,-28.75,-71.75,89.00,,,,,
1923,5,7,,,,CHILE,,NORTHERN CHILE,,,89.00,,,,,
1923,6,1,17,24,0,JAPAN,,"KASHIMA, JAPAN",35.40,141.80,85.00,0.40,-1.30,-1.50,,
1923,7,18,2,24,19,PHILIPPINES,,"BUTUAN, SULU SEA",9.30,125.00,84.00,,0.50,1.00,,
1923,8,6,,,,USA,NY,"ROCKAWAY BEACH, NY",40.60,-73.50,75.00,,,,,2.00
1923,8,12,,,,CHILE,,NORTHERN CHILE,-18.50,-70.30,89.00,,,,,
1923,8,,,,,KOREA,,KOREA,,,84.00,,,1.50,,
1923,9,1,2,58,37,JAPAN,,SAGAMI BAY,35.10,139.50,85.00,13.00,3.60,3.00,,142807.00
1923,9,2,2,46,40,JAPAN,,RYUKYU ISLANDS,34.90,140.20,85.00,0.30,-1.70,-1.50,,
1923,9,4,,,,USA,CA,N. CALIFORNIA,,,88.00,6.10,,,,
1923,11,2,21,8,12,PAPUA NEW GUINEA,,BISMARCK SEA,-4.65,154.23,82.00,,,,,
1923,11,4,0,4,48,PAPUA NEW GUINEA,,NEW BRITAIN,-4.54,153.11,82.00,,,,,
1924,3,15,10,31,24,RUSSIA,,TATAR STRAIT,49.18,142.44,86.00,,,,,
1924,4,13,,,,RUSSIA,,TATAR STRAIT,,,86.00,,,,,
1924,4,14,16,20,23,PHILIPPINES,,E. MINDANAO ISLAND,6.50,126.50,84.00,,,0.50,,
1924,4,16,,,,RUSSIA,,TATAR STRAIT,,,86.00,,,,,
1924,5,6,16,9,20,PHILIPPINES,,PHILIPPINES,16.00,118.00,84.00,,1.00,1.50,,
1924,5,30,,,,USA,HI,HAWAII,,,80.00,5.00,2.30,2.00,,
1924,6,2,,,,PHILIPPINES,,W. LUZON ISLAND,,,84.00,,5.00,,,
1924,6,26,1,37,34,AUSTRALIA,,MACQUARIE ISLAND,-56.00,157.50,81.00,,,,,
1924,7,19,,,,NEW ZEALAND,,CHATHAM I.,-43.95,-176.57,81.00,,,1.00,,
1924,8,8,,,,USA,NY,"CONEY ISLAND, NY",40.57,-73.98,75.00,4.60,,,,
1924,8,28,,,,ICELAND,,ICELAND: REYKJAVIK,64.15,-21.95,73.00,,,,,
1924,8,30,3,4,7,PHILIPPINES,,E. MINDANAO ISLAND,8.50,126.50,84.00,,,0.50,,
1925,1,8,,,,INDONESIA,,BANDA SEA,-8.00,115.00,60.00,1.00,,0.00,,
1925,2,23,23,53,36,USA,AK,"GULF OF ALASKA, AK",60.00,-146.00,87.00,1.40,0.50,1.00,,
1925,5,4,17,25,,MEXICO,,,14.58,-106.10,88.00,,,,,
1925,5,5,10,6,6,PHILIPPINES,,W. LUZON ISLAND,9.30,122.70,84.00,,,0.50,,17.00
1925,5,11,,,,ITALY,,CALABRIAN ARC,,,50.00,,,,,
1925,5,15,11,56,57,CHILE,,NORTHERN CHILE,-26.00,-71.50,89.00,,,,,
1925,5,25,3,43,6,PHILIPPINES,,W. LUZON ISLAND,12.20,122.10,84.00,,-0.50,0.50,,
1925,10,4,16,,,USA,CA,CALIFORNIA,,,88.00,0.34,,-3.50,,
1925,11,13,12,14,45,PHILIPPINES,,PHILIPPINE SEA,13.00,125.00,84.00,,,0.50,,
1925,11,16,11,54,54,MEXICO,,S. MEXICO,18.50,-107.00,88.00,11.00,3.50,3.00,,
1925,11,25,,,,PHILIPPINES,,SULU SEA,,,84.00,,,,,
1925,12,22,,,,"MICRONESIA, FED. STATES OF",,CAROLINE ISLANDS,10.00,138.00,81.00,,,1.50,,
1926,1,9,,,,USA,ME,"BERNARD, ME",44.23,-68.35,75.00,3.00,,,,
1926,1,25,0,36,25,SOLOMON ISLANDS,,SOLOMON SEA,-10.06,159.22,82.00,,,,,
1926,3,20,9,3,,USA,HI,HAWAII,20.50,-155.50,80.00,1.50,0.60,,,
1926,3,31,,,,COOK ISLANDS,,COOK ISLANDS,,,81.00,,,2.50,,1.00
1926,6,28,3,23,25,INDONESIA,,SW. SUMATRA,-0.70,100.60,60.00,,,,,
1926,7,30,,,,UK,,ENGLISH CHANNEL,49.21,-2.13,73.00,,,,,
1926,7,,,,,SOUTH KOREA,,S. OF KOREA,35.00,128.00,84.00,,,1.50,,
1926,8,17,1,42,,ITALY,,AEOLIAN ISLANDS,38.57,14.83,50.00,,,3.00,,
1926,8,30,11,38,12,GREECE,,ARGOLIKOS GULF,36.50,23.30,50.00,,,,,
1926,8,31,10,40,8,PORTUGAL,,AZORES,37.97,-28.59,73.00,0.30,,,,9.00
1926,9,16,17,59,15,SOLOMON ISLANDS,,SOLOMON ISLANDS,-9.67,159.52,82.00,2.00,1.00,1.50,,
1926,12,9,,,,CHILE,,NORTHERN CHILE,-28.00,-71.00,89.00,,0.60,0.50,,
1926,12,19,,,,PORTUGAL,,PORTUGAL,,,73.00,,,,,
1926,,,,,,NEW ZEALAND,,"TOLAGA BAY, NORTH ISLAND",-38.37,178.31,81.00,6.35,,,,
1927,1,1,8,17,,USA,CA,S. CALIFORNIA,32.50,-115.50,88.00,,,1.00,,1.00
1927,1,24,5,18,22,NORWAY,,WESTERN NORWAY,59.00,3.00,73.00,,,,,
1927,3,7,9,27,,JAPAN,,SW. HONSHU ISLAND,35.60,135.10,85.00,11.30,0.40,0.50,,3022.00
1927,6,26,11,20,48,UKRAINE,,"CRIMEA, BLACK SEA",44.40,34.40,40.00,0.70,-0.50,2.00,,
1927,7,11,13,4,,ISRAEL,,DEAD SEA,32.00,35.50,50.00,1.00,,,,268.00
1927,8,5,21,13,1,JAPAN,,SANRIKU,37.90,142.00,85.00,0.10,-3.30,,,
1927,8,18,19,28,,JAPAN,,"KASHIMA, JAPAN",34.20,142.00,85.00,0.40,-1.30,,,
1927,9,6,,,,MEXICO,,MEXICO,17.00,-104.00,88.00,,,,,
1927,9,11,22,15,48,UKRAINE,,"CRIMEA, BLACK SEA",44.40,34.50,40.00,1.00,,2.00,,11.00
1927,10,12,8,31,0,USA,AK,"SE. ALASKA, AK",,,87.00,,,,,
1927,10,24,15,59,45,USA,AK,"SE. ALASKA, AK",57.69,-136.07,87.00,,,,,
1927,11,4,13,50,43,USA,CA,S. CALIFORNIA,34.81,-120.77,88.00,1.80,1.00,1.00,,
1927,11,21,23,12,25,CHILE,,SOUTHERN CHILE,-44.60,-73.00,89.00,,1.50,2.00,,
1927,12,1,4,37,27,INDONESIA,,SULAWESI,-0.70,119.70,83.00,15.00,3.90,3.00,,50.00
1927,12,28,18,20,34,RUSSIA,,KAMCHATKA,55.66,160.04,86.00,2.00,1.00,,,
1928,2,9,,,,CANADA,BC,BRITISH COLUMBIA,49.00,-125.00,88.00,,,0.00,,
1928,3,22,4,17,,MEXICO,,MEXICO,15.67,-96.10,88.00,,,,,
1928,3,26,,,,INDONESIA,,KRAKATAU,-6.10,105.42,60.00,,,,,
1928,3,31,0,29,47,GREECE,,EAST AEGEAN,38.10,27.40,50.00,,,2.00,,170.00
1928,3,31,,,,CHILE,,NORTHERN CHILE,-23.70,-70.40,89.00,,,2.00,,
1928,4,9,17,34,15,PERU,,S. PERU,-13.00,-69.60,89.00,,,1.00,,10.00
1928,4,22,20,13,46,GREECE,,CORINTHOS-PATRAS GULF,38.00,23.00,50.00,0.60,1.10,3.00,,20.00
1928,4,24,1,14,48,GREECE,,AEGEAN SEA,38.00,23.50,50.00,,,3.00,,
1928,4,25,0,31,18,GREECE,,"GRECIAN ARCHIPELAGO, CRETE",38.00,23.00,50.00,,,,,
1928,4,27,20,34,58,PERU,,S. PERU,-13.00,-69.50,89.00,,,,,
1928,4,27,,,,GREECE,,AEGEAN SEA,,,50.00,0.60,,,,
1928,5,2,21,54,32,GREECE,,NORTH AEGEAN,39.60,29.10,50.00,,,,,
1928,5,3,1,25,13,TURKEY,,WESTERN TURKEY,40.80,26.80,50.00,,,2.00,,
1928,5,18,,,,TONGA,,LIFUKA ISLAND,-19.83,-174.36,81.00,,,0.50,,
1928,5,27,9,50,0,JAPAN,,SANRIKU,40.00,143.20,85.00,0.45,-2.30,-2.00,,
1928,5,30,,,,JAPAN,,SAPPORO,43.06,141.35,85.00,,,,,
1928,6,15,6,12,36,PHILIPPINES,,SULU SEA,12.40,120.90,84.00,,,0.50,,
1928,6,17,3,19,33,MEXICO,,S. MEXICO,16.03,-97.04,88.00,0.20,3.00,1.00,,4.00
1928,7,18,19,5,,PERU,,N. PERU,-5.50,-79.00,89.00,,,,,
1928,8,4,,,,INDONESIA,,FLORES SEA,-8.32,121.71,60.00,10.00,3.30,3.00,,226.00
1928,9,13,,,,VENEZUELA,,CARUPANO,,,74.00,,,,,
1928,11,20,20,35,7,CHILE,,NORTHERN CHILE,-22.50,-70.50,89.00,,,,,
1928,12,1,4,6,12,CHILE,,CENTRAL CHILE,-35.00,-72.00,89.00,1.50,0.60,0.50,,279.00
1928,12,19,11,37,10,PHILIPPINES,,CELEBES SEA,7.00,124.00,84.00,,,1.00,,97.00
1928,,,,,,CANADA,NL,"CURLING, NEWFOUNDLAND",48.97,-58.00,75.00,,,,,
