Year,Month,Day,Hour,Minute,Second,Country,State,Location,Lat,Lon,RegionCode,MaxWaterHeight,MagIIDA,IntensitySoloviev,WarningStatus,DeathCount
1433,11,7,,,,JAPAN,,OFF IZU-OSHIMA,34.90,139.50,85.00,2.00,1.00,1.00,,
1434,8,6,,,,SOUTH KOREA,,"INCHON, CHEMULPO BAY, YELLOW SEA",37.50,126.00,84.00,,,0.50,,
1437,11,28,,,,GREECE,,AEGEAN SEA,40.00,26.10,50.00,,,,,
1448,9,19,,,,JAPAN,,"SADO, JAPAN",37.50,138.20,85.00,,2.00,2.00,,
1456,12,4,20,,,ITALY,,BAY OF NAPLES,41.30,14.70,50.00,,,4.00,,30000.00
1481,5,3,,,,GREECE,,ISLAND OF RHODES,36.00,28.00,50.00,3.00,,3.00,,
1481,10,3,,,,GREECE,,ISLAND OF RHODES,36.00,28.00,50.00,,,,,
1489,,,,,,TURKEY,,SOUTH COASTS OF ASIA MINOR,,,50.00,,,3.00,,
1494,7,1,,,,GREECE,,ISLAND OF CRETE,35.50,25.50,50.00,,,2.00,,
1495,9,12,,,,JAPAN,,"KAMAKURA, SAGAMI BAY, TOKAIDO",35.10,139.50,85.00,5.00,2.00,2.00,,200.00
1498,7,9,,,,JAPAN,,ENSHUNADA,34.40,137.70,85.00,,0.00,,,
1498,8,2,,,,VENEZUELA,,BOCA DE LA SIERPE,9.90,-62.30,74.00,,,,,
1498,9,20,,,,JAPAN,,NANKAIDO,33.50,135.20,85.00,,2.00,,,
1498,9,20,,,,JAPAN,,ENSHUNADA SEA,34.00,138.10,85.00,10.00,3.00,4.00,,5000.00
1500,7,10,,,,JAPAN,,TOKAIDO,,,85.00,,,,,
1500,,,,,,USA,HI,HAWAII,,,80.00,,,,,
1504,4,5,9,,,PORTUGAL,,LISBON,,,73.00,,,,,
1508,5,29,,,,GREECE,,ISLAND OF CRETE,35.00,25.50,50.00,,,3.00,,
1509,6,17,,,,CHINA,,SOUTH CHINA SEA,31.50,121.50,84.00,,,0.00,,
1509,9,10,,,,TURKEY,,MARMARA SEA,40.80,28.10,50.00,,,3.00,,5000.00
1510,9,21,,,,JAPAN,,OSAKA BAY,34.60,135.40,85.00,2.00,1.00,1.00,,
1510,10,10,,,,JAPAN,,ENSHUNADA SEA,34.50,137.60,85.00,,2.00,1.00,,
1511,3,26,,,,ITALY,,NORTH ADRIATIC,46.20,13.43,50.00,,,3.00,,15.00
1512,10,,,,,JAPAN,,TOKUSHIMA PREFECTURE,,,85.00,,,1.50,,3700.00
1513,,,,,,PERU,,CALLAO,-17.20,-72.30,89.00,,,3.00,-1.00,
1519,9,24,,,,SOUTH KOREA,,"CHUNGCHONG PROVINCE, YELLOW SEA",36.30,126.00,84.00,,,0.00,,
1520,4,4,,,,JAPAN,,"KII, KUMANANONADA",33.60,136.30,85.00,2.00,1.00,1.00,,
1521,10,,,,,JAPAN,,NANKAIDO,,,85.00,,,,,
1522,9,22,,,,SPAIN,,ALBORAN SEA,36.97,-2.66,50.00,,,,,
1524,,,,,,INDIA,,DABUL (DABHEL),17.00,73.20,60.00,,,,,
1530,9,1,14,30,,VENEZUELA,,CUMANA,10.70,-64.10,74.00,7.30,2.60,,,
1531,1,26,,,,PORTUGAL,,"TAGUS RIVER, LISBON",38.70,-9.10,73.00,,,,,30000.00
1531,1,,,,,CHINA,,JIANGSU PROVINCE,30.70,117.50,84.00,,,,,
1534,,,,,,ISRAEL,,PALESTINE,,,50.00,,,3.00,,
1537,,,,,,MEXICO,,S. MEXICO,,,88.00,,,,,
1538,9,26,,,,ITALY,,POZZUOLI,40.80,14.20,50.00,,,4.00,,
1539,11,24,,,,HONDURAS,,CABO DE HIGUERAS,16.20,-88.50,74.00,,,,,
1540,,,,,,USA,AK,"COOK INLET, AK",59.37,-153.42,87.00,,,,,
1541,12,25,,,,VENEZUELA,,CUBAGUA ISLAND,10.80,-64.20,74.00,,,,,
1542,12,10,,,,ITALY,,"SICILY, ITALY",37.07,15.30,50.00,,,,,
1543,9,1,,,,VENEZUELA,,CUMANA,10.70,-64.10,74.00,,,,,
1545,2,7,,,,JAPAN,,IZU PENINSULA,34.80,139.00,85.00,,,,,
1546,1,14,,,,ISRAEL,,GAZA - JAFFA,32.00,35.50,50.00,,,3.00,,
1556,10,21,,,,SOUTH KOREA,,YELLOW SEA,37.00,126.00,84.00,,,0.50,,
1562,7,25,,,,JAPAN,,W. KYUSHU ISLAND,32.50,130.60,85.00,,,,,
