Year,Month,Day,Hour,Minute,Second,FocalDepth,EQRichterMag,EQMomentMag,ModMercalli,Country,State,LocationName,Lat,Lon,DeathCount,Tsunami
634,,,,,    ,,,,,IRAN,,IRAN:  TABRIZ,38.00,46.20,,No
649,9,12,,,,,6,,7,CHINA,,CHINA:  SHAANXI PROVINCE:  LINFEN,36.10,111.50,50.00,No
662,4,26,,,    ,,,,,IRAN,,"IRAN:  QUMIS:  SEMNAN,DAMGHAN",35.30,54.00,,No
664,9,12,,,    ,,6,,8,SOUTH KOREA,,SOUTH KOREA:  KYONGJU,35.50,129.10,,No
678,,,,,    ,,,,7,IRAQ,,IRAQ:  JAZIRAH:  BETWEEN TIGRIS AND THARTHAR RIVERS,35.00,43.50,,No
684,11,29,,,,,8,,,JAPAN,,JAPAN,32.50,134.00,,Yes
688,,,,,,,,,9,TURKEY,,TURKEY:  IZMIR,38.40,27.20,,No
701,5,12,,,,,7,,,JAPAN,,JAPAN:  KYOTO PREFECTURE,35.70,135.40,,Yes
704,8,2,,,,,7,,,JAPAN,,JAPAN:  KUMANONADA,33.80,136.70,,Yes
713,3,20,,,,,,,7,TURKEY,,TURKEY:  ANTAKYA (ANTIOCH),36.00,36.00,,No
715,,,,,    ,,,,9,TURKEY,,TURKEY:  IZNIK,40.40,28.90,,No
716,8,25,,,    ,,,,,TURKEY,,TURKEY:  ANTAKYA (ANTIOCH),36.00,36.00,,No
734,3,19,,,,,7,,9,CHINA,,CHINA:  GANSU PROVINCE:  TIANSHUI,34.60,105.60,101.00,No
735,6,21,,,    ,16,6,,8,ARMENIA,,ARMENIA:  BAYOTSDZOR,39.70,45.50,,No
740,10,26,,,,,7,,9,TURKEY,,TURKEY:  ISTANBUL (CONSTANTINOPLE),40.70,29.30,,Yes
742,,,,,    ,,,,,SYRIA,,SYRIA;  ISRAEL; ASIA,35.00,38.00,,No
743,,,,,,,7,,9,IRAN,,IRAN:  EIVAN-E-KAY,35.30,52.20,,No
743,,,,,,20,6,,7,RUSSIA,,RUSSIA:  CASPIAN SEA,42.10,48.20,,No
744,6,30,,,,,6,,,JAPAN,,"JAPAN:  SHIMABARA, YATSUSHIRO, HIGO",32.40,130.50,1520.00,Yes
745,6,5,,,,,8,,,JAPAN,,JAPAN:  MINO,35.50,136.90,,No
745,6,9,,,,,7,,,JAPAN,,JAPAN: OSAKA BAY,34.60,135.30,,Yes
746,1,18,,,    ,,7,,11,ISRAEL,,"ISRAEL:  TEVERYA (TIBERIAS), ARIHA (JERICHO)",32.00,35.50,,Yes
748,8,31,,,,,,,,SYRIA,,SYRIA:  DIMASHQ (DAMASCUS),33.50,36.30,,No
749,1,25,,,,,,,10,IRAQ,,IRAQ:  JAZIRAH:  NE OF THARTHAR RIVER,35.00,43.50,,No
758,,,,,    ,,,,7,ISRAEL,,ISRAEL:  PALESTINE; SYRIA:  HALAB; TURKEY:  ANTAKYA,31.20,34.20,,No
763,,,,,,,8,,,IRAN,,IRAN:  KHURASAN,33.30,59.30,,No
766,7,20,,,,,7,,,JAPAN,,JAPAN:  N. KAGOSHIMA BAY,31.60,130.70,,Yes
777,,,,,,,,,8,CHINA,,"CHINA:  HEBEI PROVINCE:  SHULU, NINGJIN",37.80,115.20,200.00,No
778,,,,,,,,,,CHINA,,CHINA:  HUNAN PROVINCE: HOANG KIN CHAN,28.10,111.40,,No
778,,,,,,,6,,,ITALY,,ITALY:  TREVISO,45.40,12.20,,No
780,,,,,    ,,6,,8,SOUTH KOREA,,SOUTH KOREA:  KYONGJU,35.50,129.10,,No
788,3,8,,,,,7,,8,CHINA,,"CHINA:  SHAANXI PROVINCE:  ANKANG, FANGXIAN",32.50,109.40,,No
793,4,30,,,    ,,,,,ITALY,,ITALY:  VERONA,45.50,11.00,,No
796,4,7,,,    ,100,,,10,GREECE,,GREECE:  CRETE,35.00,25.00,,No
801,4,30,1,,    ,,,,10,ITALY,,ITALY:  ROMA (ROME),41.90,12.60,,No
802,5,31,,,    ,,,,10,ITALY,,ITALY:  PADOVA,45.40,11.90,,No
803,12,19,,,,,,,,TURKEY,,TURKEY: GULF OF ISKENDERUN,36.95,35.60,,Yes
811,,,,,,,,,,UK,,UNITED KINGDOM:  SCOTLAND:  ST ANDREWS,56.30,-2.80,1400.00,No
814,4,2,,,,,7,,,CHINA,,CHINA:  SICHUAN PROVINCE:  XICHANG,27.90,102.20,101.00,No
818,5,15,,,,50,8,,8,AFGHANISTAN,,AFGHANISTAN; INDIA:  HINDU-KUSH; KAZAHKSTAN:  BALKHA,36.80,66.20,,No
818,8,,,,,,8,,,JAPAN,,JAPAN:  TOKKAIDO,35.20,139.30,,Yes
820,8,19,,,,,,,,CHINA,,CHINA:  SHAANXI PROVINCE:  FAN CHONG,37.40,112.60,20.00,No
835,1,5,,,    ,,,,9,TURKEY,,TURKEY:  ANTAKYA (ANTIOCH),36.00,36.00,,No
838,11,23,,,    ,,,,,UZBEKISTAN,,UZBEKISTAN:  FERGANA,40.40,71.30,,No
842,10,24,,,,,,,,UK,,UNITED KINGDOM:  CHANNEL ISLANDS; GAUL,49.50,-2.50,,Yes
844,9,18,,,    ,,,,8,SYRIA,,SYRIA:  DIMASHQ (DAMASCUS); TURKEY:  ANTAKYA,33.50,36.30,,No
845,9,6,,,    ,,,,,IRAQ,,IRAQ:  AL-MAWSIL,36.20,43.10,,No
846,,,,,,,,,8,TURKEY,,TURKEY:  ANTAKYA; LEBANON:  HIMS; IRAQ:  MOSUL,36.10,36.10,,No
847,6,,,,,,,,10,ITALY,,"ITALY:  MOLISE, ISERNIA",41.60,14.20,,No
847,11,24,,,,,,,,SYRIA,,SYRIA:  DIMASHQ (DAMASCUS),33.50,36.30,,No
847,,,,,,,,,10,IRAQ,,IRAQ:  AL-MAWSIL,36.21,42.08,70000.00,No
850,7,15,,,,,,,,IRAN,,IRAN:  REY (RAY),35.30,51.20,45000.00,No
850,11,27,,,,,7,,,JAPAN,,"JAPAN:  YOMAGATA, SHONAI",39.00,139.90,,Yes
851,,,,,,10,5,,8,ARMENIA,,ARMENIA:  DVIN,40.00,44.60,12000.00,No
853,,,,,,,,,10,ITALY,,ITALY:  BOIANO,41.50,14.50,,No
854,6,2,,,,,,,10,TUNISIA,,"TUNISIA:  KAIROUAN, TUNIS",35.70,10.10,,No
854,,,,,,,,,8,FRANCE,,"FRANCE:  CAMBRAI,TOURNAI,MAYENCE",50.10,3.10,,No
854,,,,,,,,,,ARMENIA,,ARMENIA:  TOVIN,40.00,45.00,2000.00,No
855,5,22,,,,,,,,IRAN,,IRAN:  REY (RAY),35.30,51.20,,No
856,1,,,,,10,5,,8,ARMENIA,,ARMENIA:  DVIN,40.00,44.60,,No
856,12,3,,,,,,,10,TUNISIA,,TUNISIA:  TUNIS,36.80,10.20,45000.00,No
856,12,22,,,,,8,,10,IRAN,,"IRAN:  DAMGHAN, QUMIS",36.20,54.30,200000.00,No
856,12,,,,,,,,,GREECE,,"GREECE:  KORINTHOS,PATRAI (PATRAS)",37.90,22.90,45000.00,No
857,4,,,,,,,,,EGYPT,,EGYPT,,,,No
858,1,,,,,10,5,,,TURKEY,,TURKEY; ARMENIA:  DVINA,40.00,44.60,,No
858,4,19,,,,,,,,IRAN,,IRAN:  TABRIZ,38.00,46.20,,No
859,4,8,,,,,,,11,TURKEY,,TURKEY:  ANTAKYA (ANTIOCH),36.00,36.00,,No
860,5,23,,,    ,,,,8,IRAQ,,IRAQ:  BAGHDAD,33.00,44.50,,No
863,2,24,,,,,,,,IRAN,,IRAN:  REY (RAY),35.30,51.20,,No
863,4,,,,,10,5,,,TURKEY,,TURKEY; ARMENIA:  DVINA,40.00,44.60,,No
863,,,,,,,,,,IRAN,,IRAN:  TABRIZ; ARMENIA:  JEREVAN (ERIVAN),38.00,46.20,,No
863,7,10,,,,,7,,,JAPAN,,"JAPAN: NAOETSU, NIIGATA PREFECTURE",37.10,138.00,,Yes
864,1,15,,,    ,,,,,IRAN,,IRAN:  REY,35.30,51.20,,No
867,1,9,,,    ,,,,10,TURKEY,,TURKEY,41.00,29.00,,No
869,7,13,,,,,9,,,JAPAN,,JAPAN:  SANRIKU,38.50,143.80,,Yes
871,11,18,,,,,7,,7,IRAN,,IRAN:  SAIMAREH,33.20,47.20,20000.00,No
876,7,14,,,,,7,,8,CHINA,,CHINA:  NINGXIA: QINGTONGXIA,37.80,105.90,,No
881,5,27,,,,,,,10,ALGERIA,,ALGERIA-MOROCCO,30.00,-6.00,,No
