Year,Month,Day,TSU,EQ,Name,Location,Country,Lat,Lon,Elevation,Type,Deaths
1961,1,25,NO,NO,Calbuco,Chile-S,Chile,-41.33,-72.61,2003,Stratovolcano,2
1962,6,29,NO,NO,Tokachi,Hokkaido-Japan,Japan,43.42,142.68,2077,Stratovolcano,1
1962,12,31,NO,NO,Gamalama,Halmahera-Indonesia,Indonesia,0.80,127.33,1715,Stratovolcano,5
1962,10,,NO,NO,Merapi,Java,Indonesia,-7.54,110.44,2947,Stratovolcano,2
1963,5,16,NO,YES,Agung,Lesser Sunda Is,Indonesia,-8.34,115.51,3142,Stratovolcano,15
1963,3,18,YES,NO,Agung,Lesser Sunda Is,Indonesia,-8.34,115.51,3142,Stratovolcano,5
1963,12,10,NO,NO,Irazu,Costa Rica,Costa Rica,9.98,-83.85,3432,Stratovolcano,1028
1963,3,17,NO,NO,Irazu,Costa Rica,Costa Rica,9.98,-83.85,3432,Stratovolcano,1
1963,9,28,NO,NO,Fuego,Guatemala,Guatemala,14.47,-90.88,3763,Stratovolcano,120
1963,9,5,NO,NO,Batur,Lesser Sunda Is,Indonesia,-8.24,115.38,1717,Caldera,
1963,5,5,NO,NO,Semeru,Java,Indonesia,-8.11,112.92,3676,Stratovolcano,2
1963,5,21,NO,NO,Villarrica,Chile-C,Chile,-39.42,-71.93,2847,Stratovolcano,7
1964,12,13,NO,NO,Dieng Volc Complex,Java,Indonesia,-7.20,109.92,2565,Complex volcano,40
1964,3,3,NO,NO,Villarrica,Chile-C,Chile,-39.42,-71.93,2847,Stratovolcano,1
1964,1,1,NO,NO,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.71,875,Stratovolcano,25
1965,9,28,YES,NO,Taal,Luzon-Philippines,Philippines,14.00,120.99,400,Stratovolcano,114
1965,10,24,YES,NO,Kick-'em-Jenny,W Indies,Netherlands,12.30,-61.63,-177,Submarine volcano,355
1966,1,13,YES,NO,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,-10.38,165.80,851,Stratovolcano,215
1966,4,26,NO,NO,Kelut,Java,Indonesia,-7.93,112.31,1731,Stratovolcano,
1966,8,12,NO,NO,Awu,Sangihe Is-Indonesia,Indonesia,3.67,125.50,1320,Stratovolcano,
1966,8,14,NO,NO,"Lengai, Ol Doinyo",Africa-E,Tanzania,-2.75,35.90,2890,Stratovolcano,39
1967,12,4,YES,NO,Deception Island,Antarctica,Antarctica,-62.97,-60.65,576,Caldera,3
1967,8,31,NO,NO,Semeru,Java,Indonesia,-8.11,112.92,3676,Stratovolcano,
1967,7,8,NO,NO,"Lengai, Ol Doinyo",Africa-E,Tanzania,-2.75,35.90,2890,Stratovolcano,
1968,7,29,NO,NO,Arenal,Costa Rica,Costa Rica,10.46,-84.70,1657,Stratovolcano,
1968,4,21,NO,NO,Mayon,Luzon-Philippines,Philippines,13.26,123.69,2462,Stratovolcano,6
1969,3,21,YES,NO,Didicas,Luzon-N of,Philippines,19.08,122.20,244,Compound volcano,3
1969,1,7,NO,NO,Merapi,Java,Indonesia,-7.54,110.44,2947,Stratovolcano,80
1969,1,28,NO,NO,Iya,Lesser Sunda Is,Indonesia,-8.88,121.63,637,Stratovolcano,3
1969,8,26,NO,NO,Narugo,Honshu-Japan,Japan,38.73,140.73,462,Caldera,2
1970,3,2,NO,NO,Campi Flegrei,Italy,Italy,40.83,14.14,458,Caldera,1
1970,5,5,NO,NO,Hekla,Iceland-S,Iceland,63.98,-19.70,1491,Stratovolcano,3
1971,9,6,YES,NO,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,-10.38,165.80,851,Stratovolcano,
1971,10,29,NO,NO,Villarrica,Chile-C,Chile,-39.42,-71.93,2847,Stratovolcano,
1971,9,14,NO,NO,Fuego,Guatemala,Guatemala,14.47,-90.88,3763,Stratovolcano,3
1971,12,27,NO,NO,Kusatsu-Shirane,Honshu-Japan,Japan,36.62,138.55,2176,Stratovolcano,
1971,8,12,NO,NO,"Hudson, Cerro",Chile-S,Chile,-45.90,-72.97,1905,Stratovolcano,10
1971,10,26,NO,NO,La Palma,Canary Is,Spain,28.58,-17.83,2426,Stratovolcano,15
1972,10,9,YES,NO,Ritter Island,New Guinea-NE of,Papua New Guinea,-5.52,148.12,140,Stratovolcano,2
1972,6,9,NO,NO,"Fournaise, Piton de la",Indian O-W,Reunion,-21.23,55.71,2631,Shield volcano,6
1972,10,2,NO,NO,Hakone,Honshu-Japan,Japan,35.22,139.02,1438,Complex volcano,3
1973,4,5,NO,NO,"Hudson, Cerro",Chile-S,Chile,-45.90,-72.97,1905,Stratovolcano,
1973,12,5,NO,NO,Iliwerung,Lesser Sunda Is,Indonesia,-8.54,123.59,1018,Complex volcano,1
1973,1,27,NO,NO,Vestmannaeyjar,Iceland-S,Iceland,63.43,-20.28,279,Submarine volcano,
1973,1,,NO,NO,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.71,875,Stratovolcano,2
1974,10,17,YES,NO,Ritter Island,New Guinea-NE of,Papua New Guinea,-5.52,148.12,140,Stratovolcano,
1974,10,22,NO,NO,Merapi,Java,Indonesia,-7.54,110.44,2947,Stratovolcano,2
1974,8,9,NO,NO,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,4
1974,2,11,NO,NO,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,3
1974,6,17,NO,NO,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,3
1974,7,28,NO,NO,Niigata-Yake-yama,Honshu-Japan,Japan,36.92,138.03,2400,Lava dome,5
1974,10,10,NO,NO,Fuego,Guatemala,Guatemala,14.47,-90.88,3763,Stratovolcano,
1975,11,29,YES,YES,Kilauea,Hawaiian Is,United States,19.43,-155.29,1222,Shield volcano,2
1975,1,,NO,NO,Marapi,Sumatra,Indonesia,-0.38,100.47,2891,Complex volcano,9
1975,6,17,NO,NO,Arenal,Costa Rica,Costa Rica,10.46,-84.70,1657,Stratovolcano,80
1976,8,31,NO,NO,Semeru,Java,Indonesia,-8.11,112.92,3676,Stratovolcano,2
1976,11,25,NO,NO,Merapi,Java,Indonesia,-7.54,110.44,2947,Stratovolcano,3
1976,8,3,NO,NO,Kusatsu-Shirane,Honshu-Japan,Japan,36.62,138.55,2176,Stratovolcano,2
1976,8,12,NO,NO,Sangay,Ecuador,Ecuador,-2.03,-78.33,5230,Stratovolcano,119
1976,9,15,NO,NO,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,1
1977,8,7,NO,NO,Usu,Hokkaido-Japan,Japan,42.53,140.83,731,Stratovolcano,29
1977,8,2,NO,NO,Kliuchevskoi,Kamchatka,Russia,56.06,160.64,4835,Stratovolcano,
1977,1,10,NO,NO,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,
1977,4,5,NO,NO,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,
1977,4,27,NO,NO,Krafla,Iceland-NE,Iceland,65.73,-16.78,650,Caldera,1
1978,9,19,NO,NO,Semeru,Java,Indonesia,-8.11,112.92,3676,Stratovolcano,3
1978,1,13,NO,NO,Usu,Hokkaido-Japan,Japan,42.53,140.83,731,Stratovolcano,3
1978,,,NO,NO,Tangkubanparahu,Java,Indonesia,-6.77,107.60,2084,Stratovolcano,
1978,9,2,NO,NO,Santa Maria,Guatemala,Guatemala,14.76,-91.55,3772,Stratovolcano,1
1978,7,29,NO,NO,Bulusan,Luzon-Philippines,Philippines,12.77,124.05,1565,Stratovolcano,12
1979,7,18,YES,NO,Iliwerung,Lesser Sunda Is,Indonesia,-8.54,123.59,1018,Complex volcano,1239
1979,2,20,NO,NO,Dieng Volc Complex,Java,Indonesia,-7.20,109.92,2565,Complex volcano,3
1979,7,5,NO,NO,Etna,Italy,Italy,37.73,15.00,3350,Stratovolcano,149
1979,9,6,NO,NO,Aso,Kyushu-Japan,Japan,32.88,131.10,1592,Caldera,2
1979,3,8,NO,NO,Karkar,New Guinea-NE of,Papua New Guinea,-4.65,145.96,1839,Stratovolcano,2
1979,4,13,NO,NO,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,13.33,-61.18,1220,Stratovolcano,9
1980,5,18,YES,YES,St. Helens,US-Washington,United States,46.20,-122.18,2549,Stratovolcano,3
1980,12,25,NO,NO,Hood,US-Oregon,United States,45.37,-121.69,3426,Stratovolcano,61
1980,8,17,NO,NO,Hekla,Iceland-S,Iceland,63.98,-19.70,1491,Stratovolcano,
1981,5,14,NO,NO,Semeru,Java,Indonesia,-8.11,112.92,3676,Stratovolcano,1
1981,6,30,NO,NO,Mayon,Luzon-Philippines,Philippines,13.26,123.69,2462,Stratovolcano,
1981,3,29,NO,NO,Semeru,Java,Indonesia,-8.11,112.92,3676,Stratovolcano,1
1981,3,17,NO,NO,Etna,Italy,Italy,37.73,15.00,3350,Stratovolcano,
1981,4,27,NO,NO,Alaid,Kuril Is,Russia,50.86,155.55,2339,Stratovolcano,372
1981,9,5,NO,NO,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.71,875,Stratovolcano,200
1981,,,NO,NO,Vilyuchik,Kamchatka,Russia,52.68,158.30,2173,Stratovolcano,
1982,3,29,NO,YES,"Chichon, El",Mexico,Mexico,17.36,-93.23,1150,Tuff cone,
1982,5,17,NO,NO,Galunggung,Java,Indonesia,-7.25,108.05,2168,Stratovolcano,1879
1982,4,4,NO,NO,"Chichon, El",Mexico,Mexico,17.36,-93.23,1150,Tuff cone,33
1982,5,27,NO,NO,"Chichon, El",Mexico,Mexico,17.36,-93.23,1150,Tuff cone,68
1983,10,3,NO,YES,Miyake-jima,Izu Is-Japan,Japan,34.08,139.53,815,Stratovolcano,
1983,8,17,YES,NO,Iliwerung,Lesser Sunda Is,Indonesia,-8.54,123.59,1018,Complex volcano,
1983,3,8,NO,NO,Kliuchevskoi,Kamchatka,Russia,56.06,160.64,4835,Stratovolcano,1
1983,7,23,NO,NO,Colo [Una Una],Sulawesi-Indonesia,Indonesia,-0.17,121.61,507,Stratovolcano,1
1984,8,15,NO,NO,Oku Volc Field,Africa-W,Cameroon,6.25,10.50,3011,Maar,
1984,9,14,NO,NO,On-take,Honshu-Japan,Japan,35.90,137.48,3063,Complex volcano,37
1984,9,9,NO,NO,Mayon,Luzon-Philippines,Philippines,13.26,123.69,2462,Stratovolcano,1
1984,10,16,NO,NO,Etna,Italy,Italy,37.73,15.00,3350,Stratovolcano,29
1985,11,13,NO,NO,Ruiz,Colombia,Colombia,4.90,-75.32,5321,Stratovolcano,1
1985,5,10,NO,NO,Semeru,Java,Indonesia,-8.11,112.92,3676,Stratovolcano,70
1985,12,19,NO,NO,Etna,Italy,Italy,37.73,15.00,3350,Stratovolcano,23080
1986,8,21,NO,NO,Oku Volc Field,Africa-W,Cameroon,6.25,10.50,3011,Maar,1
1986,5,8,NO,NO,Akita-Yake-yama,Honshu-Japan,Japan,39.97,140.77,1366,Complex volcano,1
1986,7,24,NO,NO,Stromboli,Italy,Italy,38.79,15.21,926,Stratovolcano,1
1986,10,15,NO,NO,Merapi,Java,Indonesia,-7.54,110.44,2947,Stratovolcano,1700
1986,11,15,NO,NO,Oshima,Izu Is-Japan,Japan,34.73,139.38,758,Stratovolcano,1
1987,12,1,NO,YES,Sirung,Lesser Sunda Is,Indonesia,-8.51,124.15,862,Complex volcano,2
1987,4,17,NO,NO,Etna,Italy,Italy,37.73,15.00,3350,Stratovolcano,1
1987,1,25,NO,NO,Pacaya,Guatemala,Guatemala,14.38,-90.60,2552,Complex volcano,
1988,5,9,NO,NO,Banda Api,Banda Sea,Pacific Ocean,-4.53,129.87,640,Caldera,125
1988,,,NO,NO,Akita-Yake-yama,Honshu-Japan,Japan,39.97,140.77,1366,Complex volcano,4
1988,7,6,NO,NO,Arenal,Costa Rica,Costa Rica,10.46,-84.70,1657,Stratovolcano,1
1988,7,30,NO,NO,Semeru,Java,Indonesia,-8.11,112.92,3676,Stratovolcano,1
1988,12,25,NO,NO,Lonquimay,Chile-C,Chile,-38.38,-71.58,2865,Stratovolcano,1
1989,8,26,NO,NO,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,3
1989,2,12,NO,NO,Aso,Kyushu-Japan,Japan,32.88,131.10,1592,Caldera,1
1990,2,10,NO,NO,Kelut,Java,Indonesia,-7.93,112.31,1731,Stratovolcano,2
1990,6,24,NO,NO,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.27,152.20,688,Pyroclastic shield,
1990,7,19,NO,NO,Santa Maria,Guatemala,Guatemala,14.76,-91.55,3772,Stratovolcano,32
1990,11,25,NO,NO,Kelut,Java,Indonesia,-7.93,112.31,1731,Stratovolcano,1
1990,3,26,NO,NO,Aso,Kyushu-Japan,Japan,32.88,131.10,1592,Caldera,1
1990,4,18,NO,NO,Aso,Kyushu-Japan,Japan,32.88,131.10,1592,Caldera,
1990,10,19,NO,NO,Aso,Kyushu-Japan,Japan,32.88,131.10,1592,Caldera,6
1990,11,21,NO,NO,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,4
1990,2,2,NO,NO,Shiveluch,Kamchatka,Russia,56.65,161.36,3283,Stratovolcano,1
1990,5,29,NO,NO,Sabancaya,Peru,Peru,-15.78,-71.85,5967,Stratovolcano,1
1991,6,15,NO,YES,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,4
1991,6,3,NO,NO,Unzen,Kyushu-Japan,Japan,32.75,130.30,1500,Complex volcano,43
1991,6,,NO,NO,Mutnovsky,Kamchatka,Russia,52.45,158.20,2322,Complex volcano,800
1991,10,24,NO,NO,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.36,124.79,1580,Stratovolcano,1
1991,7,3,NO,NO,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,
1991,8,8,NO,NO,"Hudson, Cerro",Chile-S,Chile,-45.90,-72.97,1905,Stratovolcano,
1991,12,14,NO,NO,Etna,Italy,Italy,37.73,15.00,3350,Stratovolcano,1
1992,4,10,NO,NO,"Negro, Cerro",Nicaragua,Nicaragua,12.51,-86.70,728,Cinder cone,
1992,5,11,NO,NO,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,2
1992,7,12,NO,NO,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,1
1992,,,NO,NO,Semeru,Java,Indonesia,-8.11,112.92,3676,Stratovolcano,11
1992,1,21,NO,NO,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,6
1992,3,18,NO,NO,Dieng Volc Complex,Java,Indonesia,-7.20,109.92,2565,Complex volcano,1
1992,7,5,NO,NO,Marapi,Sumatra,Indonesia,-0.38,100.47,2891,Complex volcano,6
1992,9,17,NO,NO,Spurr,Alaska-SW,United States,61.30,-152.25,3374,Stratovolcano,1
1993,2,2,NO,NO,Mayon,Luzon-Philippines,Philippines,13.26,123.69,2462,Stratovolcano,3
1993,10,4,NO,NO,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,9
1993,1,14,NO,NO,Galeras,Colombia,Colombia,1.22,-77.37,4276,Complex volcano,1
1993,6,26,NO,NO,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,75
1993,3,12,NO,NO,Guagua Pichincha,Ecuador,Ecuador,-0.17,-78.60,4784,Stratovolcano,2
1993,1,21,NO,NO,Wurlali,Banda Sea,Indonesia,-7.13,128.68,868,Stratovolcano,1
1993,4,19,NO,NO,Kilauea,Hawaiian Is,United States,19.43,-155.29,1222,Shield volcano,1
1993,6,13,NO,NO,Krakatau,Indonesia,Indonesia,-6.10,105.42,813,Caldera,1
1993,6,23,NO,NO,Unzen,Kyushu-Japan,Japan,32.75,130.30,1500,Complex volcano,4
1994,9,19,YES,NO,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.27,152.20,688,Pyroclastic shield,1
1994,11,22,NO,NO,Merapi,Java,Indonesia,-7.54,110.44,2947,Stratovolcano,14
1994,11,3,NO,NO,Rinjani,Lesser Sunda Is,Indonesia,-8.42,116.47,3726,Stratovolcano,1
1994,2,3,NO,NO,Semeru,Java,Indonesia,-8.11,112.92,3676,Stratovolcano,6
1994,1,15,NO,NO,Yasur,Vanuatu-SW Pacific,Vanuatu,-19.52,169.43,361,Stratovolcano,650
1994,5,29,NO,NO,Aso,Kyushu-Japan,Japan,32.88,131.10,1592,Caldera,4
1994,6,6,NO,NO,Huila,Colombia,Colombia,2.92,-76.05,5365,Stratovolcano,31
1995,9,6,NO,NO,Parker,Mindanao-Philippines,Philippines,6.12,124.89,1824,Stratovolcano,60
1995,2,11,NO,NO,Yake-dake,Honshu-Japan,Japan,36.22,137.58,2455,Stratovolcano,2
1995,2,4,NO,NO,Yasur,Vanuatu-SW Pacific,Vanuatu,-19.52,169.43,361,Stratovolcano,4
1995,4,7,NO,NO,Pacaya,Guatemala,Guatemala,14.38,-90.60,2552,Complex volcano,
1995,5,15,NO,NO,Kelimutu,Lesser Sunda Is,Indonesia,-8.76,121.83,1640,Complex volcano,1
1995,4,2,NO,NO,Fogo,Cape Verde Is,Cape Verde,14.95,-24.35,2829,Stratovolcano,1
1996,1,2,YES,NO,Karymsky,Kamchatka,Russia,54.05,159.43,1536,Stratovolcano,6
1996,12,3,NO,NO,Manam,New Guinea-NE of,Papua New Guinea,-4.10,145.06,1807,Stratovolcano,60
1996,9,27,NO,NO,Maderas,Nicaragua,Nicaragua,11.45,-85.52,1394,Stratovolcano,
1996,4,30,NO,NO,Popocatepetl,Mexico,Mexico,19.02,-98.62,5426,Stratovolcano,5
1996,8,10,NO,NO,Kanlaon,Philippines-C,Philippines,10.41,123.13,2435,Stratovolcano,3
1996,9,30,NO,NO,Grimsvotn,Iceland-NE,Iceland,64.42,-17.33,1725,Caldera,
1997,12,26,YES,NO,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,2
1997,6,25,NO,NO,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,13
1997,1,14,NO,NO,Merapi,Java,Indonesia,-7.54,110.44,2947,Stratovolcano,6
1997,9,15,NO,NO,Adatara,Honshu-Japan,Japan,37.62,140.28,1718,Stratovolcano,3
1997,4,17,NO,NO,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,22
1997,7,12,NO,NO,Hakkoda Group,Honshu-Japan,Japan,40.65,140.88,1585,Stratovolcano,3
1997,8,1,NO,NO,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,2
1997,9,2,NO,NO,Semeru,Java,Indonesia,-8.11,112.92,3676,Stratovolcano,2
1997,11,23,NO,NO,Aso,Kyushu-Japan,Japan,32.88,131.10,1592,Caldera,4
1998,10,30,NO,NO,San Cristobal,Nicaragua,Nicaragua,12.70,-87.00,1745,Stratovolcano,
1998,7,,NO,NO,Kelut,Java,Indonesia,-7.93,112.31,1731,Stratovolcano,
1998,4,28,NO,NO,Kilauea,Hawaiian Is,United States,19.43,-155.29,1222,Shield volcano,10
1999,1,20,YES,NO,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,
1999,10,5,NO,NO,Guagua Pichincha,Ecuador,Ecuador,-0.17,-78.60,4784,Stratovolcano,1620
1999,10,16,NO,NO,Tungurahua,Ecuador,Ecuador,-1.47,-78.44,5023,Stratovolcano,
1999,5,21,NO,NO,Fuego,Guatemala,Guatemala,14.47,-90.88,3763,Stratovolcano,
1999,8,15,NO,NO,Shiveluch,Kamchatka,Russia,56.65,161.36,3283,Stratovolcano,2
2000,6,27,YES,YES,Miyake-jima,Izu Is-Japan,Japan,34.08,139.53,815,Stratovolcano,2
2000,7,27,NO,NO,Semeru,Java,Indonesia,-8.11,112.92,3676,Stratovolcano,1
2000,8,23,NO,NO,Arenal,Costa Rica,Costa Rica,10.46,-84.70,1657,Stratovolcano,1
2000,11,3,NO,NO,Kilauea,Hawaiian Is,United States,19.43,-155.29,1222,Shield volcano,2
2000,11,,NO,NO,Merapi,Java,Indonesia,-7.54,110.44,2947,Stratovolcano,2
2001,8,5,NO,NO,Merapi,Java,Indonesia,-7.54,110.44,2947,Stratovolcano,1
2001,5,14,NO,NO,Etna,Italy,Italy,37.73,15.00,3350,Stratovolcano,1
2001,10,20,NO,NO,Stromboli,Italy,Italy,38.79,15.21,926,Stratovolcano,
2001,7,26,NO,NO,Etna,Italy,Italy,37.73,15.00,3350,Stratovolcano,2
2002,8,28,NO,YES,Etna,Italy,Italy,37.73,15.00,3350,Stratovolcano,
2002,12,30,YES,NO,Stromboli,Italy,Italy,38.79,15.21,926,Stratovolcano,
2002,1,17,NO,NO,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,1
2002,,,NO,NO,Semeru,Java,Indonesia,-8.11,112.92,3676,Stratovolcano,
2002,1,3,NO,NO,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,100
2002,11,3,NO,NO,Reventador,Ecuador,Ecuador,-0.08,-77.66,3562,Stratovolcano,
2003,7,12,YES,NO,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3
2004,10,24,NO,NO,Manam,New Guinea-NE of,Papua New Guinea,-4.10,145.06,1807,Stratovolcano,
2004,6,8,NO,NO,Tengger Caldera,Java,Indonesia,-7.94,112.95,2329,Stratovolcano,1
2004,1,29,NO,NO,Egon,Lesser Sunda Is,Indonesia,-8.67,122.45,1703,Stratovolcano,
2005,10,1,NO,NO,Santa Ana,El Salvador,El Salvador,13.85,-89.63,2365,Stratovolcano,5
2005,1,27,NO,NO,Manam,New Guinea-NE of,Papua New Guinea,-4.10,145.06,1807,Stratovolcano,1
2005,11,24,NO,NO,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,2
2006,5,20,YES,NO,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,6
2006,11,30,NO,NO,Mayon,Luzon-Philippines,Philippines,13.26,123.69,2462,Stratovolcano,
2006,8,17,NO,NO,Tungurahua,Ecuador,Ecuador,-1.47,-78.44,5023,Stratovolcano,1
2006,6,14,NO,NO,Merapi,Java,Indonesia,-7.54,110.44,2947,Stratovolcano,
2006,3,17,NO,NO,Raoul Island,Kermadec Is,New Zealand,-29.27,-177.92,516,Stratovolcano,1
2006,6,7,NO,NO,Bulusan,Luzon-Philippines,Philippines,12.77,124.05,1565,Stratovolcano,2
2006,7,18,NO,NO,Tungurahua,Ecuador,Ecuador,-1.47,-78.44,5023,Stratovolcano,1
2007,9,30,NO,NO,"Tair, Jebel at",Red Sea,Yemen,15.70,41.74,244,Stratovolcano,1266
2007,7,7,NO,NO,Salak,Java,Indonesia,-6.72,106.73,2211,Stratovolcano,4
2007,3,,NO,NO,Manam,New Guinea-NE of,Papua New Guinea,-4.10,145.06,1807,Stratovolcano,
2007,4,18,NO,NO,Huila,Colombia,Colombia,2.92,-76.05,5365,Stratovolcano,6
2008,8,8,YES,NO,Kasatochi,Aleutian Is,United States,52.18,-175.50,314,Stratovolcano,2
2008,11,20,NO,NO,Huila,Colombia,Colombia,2.92,-76.05,5365,Stratovolcano,7
2008,8,22,NO,NO,Tungurahua,Ecuador,Ecuador,-1.47,-78.44,5023,Stratovolcano,1
2008,5,2,NO,NO,Chaiten,Chile-S,Chile,-42.83,-72.65,962,Caldera,
2009,3,23,NO,NO,Redoubt,Alaska-SW,United States,60.48,-152.75,3108,Stratovolcano,10
2009,11,30,NO,NO,Kilauea,Hawaiian Is,United States,19.43,-155.29,1222,Shield volcano,
2010,5,29,YES,YES,Sarigan,Mariana Is-C Pacific,United States,16.71,145.78,538,Stratovolcano,2
2010,10,26,NO,NO,Merapi,Java,Indonesia,-7.54,110.44,2947,Stratovolcano,
2010,8,6,NO,NO,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,
2010,3,31,NO,NO,Eyjafjallajokull,Iceland-S,Iceland,63.63,-19.62,1666,Stratovolcano,2
2010,8,30,NO,NO,Sinabung,Sumatra,Indonesia,3.17,98.39,2460,Stratovolcano,1
2010,5,27,NO,NO,Pacaya,Guatemala,Guatemala,14.38,-90.60,2552,Complex volcano,
2010,1,,NO,NO,Tungurahua,Ecuador,Ecuador,-1.47,-78.44,5023,Stratovolcano,4
2010,11,,NO,NO,Tungurahua,Ecuador,Ecuador,-1.47,-78.44,5023,Stratovolcano,367
2010,12,28,NO,NO,Tengger Caldera,Java,Indonesia,-7.94,112.95,2329,Stratovolcano,
2011,6,22,NO,NO,Nabro,Africa-NE,Eritrea,13.37,41.70,2218,Stratovolcano,
2011,12,27,NO,NO,Gamalama,Halmahera-Indonesia,Indonesia,0.80,127.33,1715,Stratovolcano,1
2011,1,3,NO,NO,Merapi,Java,Indonesia,-7.54,110.44,2947,Stratovolcano,
2011,2,23,NO,NO,Bulusan,Luzon-Philippines,Philippines,12.77,124.05,1565,Stratovolcano,1
2011,7,17,NO,NO,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.36,124.79,1580,Stratovolcano,
2011,1,28,NO,NO,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,
2011,3,18,NO,NO,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,
2011,4,,NO,NO,Tungurahua,Ecuador,Ecuador,-1.47,-78.44,5023,Stratovolcano,31
2011,6,4,NO,NO,Puyehue,Chile-C,Chile,-40.59,-72.12,2236,Stratovolcano,
2011,7,9,NO,NO,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,1
2012,2,10,NO,NO,Kilauea,Hawaiian Is,United States,19.43,-155.29,1222,Shield volcano,4
2012,3,2,NO,NO,Kilauea,Hawaiian Is,United States,19.43,-155.29,1222,Shield volcano,
2012,12,12,NO,NO,Tolbachik,Kamchatka,Russia,55.83,160.33,3682,Shield volcano,
2013,5,7,NO,NO,Mayon,Luzon-Philippines,Philippines,13.26,123.69,2462,Stratovolcano,
2013,8,10,NO,NO,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.71,875,Stratovolcano,1
2013,2,12,NO,NO,Merapi,Java,Indonesia,-7.54,110.44,2947,Stratovolcano,
2013,12,13,NO,NO,Okataina,New Zealand,New Zealand,-38.12,176.50,1111,Lava dome,5
2013,2,,NO,NO,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.71,875,Stratovolcano,5
2013,9,1,NO,NO,Ubinas,Peru,Peru,-16.36,-70.90,5672,Stratovolcano,
2013,9,4,NO,NO,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,
2013,9,15,NO,NO,Sinabung,Sumatra,Indonesia,3.17,98.39,2460,Stratovolcano,
2014,9,27,NO,NO,On-take,Honshu-Japan,Japan,35.90,137.48,3063,Complex volcano,1
2014,2,1,NO,NO,Sinabung,Sumatra,Indonesia,3.17,98.39,2460,Stratovolcano,17
2014,2,13,NO,NO,Kelut,Java,Indonesia,-7.93,112.31,1731,Stratovolcano,7
2014,12,18,NO,NO,Gamalama,Halmahera-Indonesia,Indonesia,0.80,127.33,1715,Stratovolcano,55
2014,11,10,NO,NO,Kilauea,Hawaiian Is,United States,19.43,-155.29,1222,Shield volcano,
2014,11,23,NO,NO,Fogo,Cape Verde Is,Cape Verde,14.95,-24.35,2829,Stratovolcano,
2015,10,16,NO,NO,Sinabung,Sumatra,Indonesia,3.17,98.39,2460,Stratovolcano,1
