Year,Month,Day,TSU,EQ,Name,Location,Country,Lat,Lon,Elevation,Type,Deaths
1536,3,23,NO,NO,Etna,Italy,Italy,37.73,15.00,3350,Stratovolcano,
1538,9,29,NO,NO,Campi Flegrei,Italy,Italy,40.83,14.14,458,Caldera,1
1540,,,YES,NO,Augustine,Alaska-SW,United States,59.37,-153.42,1252,Lava dome,24
1550,11,,NO,NO,Dukono,Halmahera-Indonesia,Indonesia,1.68,127.88,1185,Complex volcano,
1564,12,31,NO,NO,Gamkonora,Halmahera-Indonesia,Indonesia,1.38,127.52,1635,Stratovolcano,
1565,8,,NO,YES,Pacaya,Guatemala,Guatemala,14.38,-90.60,2552,Complex volcano,
1566,10,31,NO,NO,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,
1568,,,NO,NO,Savo,Solomon Is-SW Pacifi,Solomon Is.,-9.13,159.82,510,Stratovolcano,
1570,,,NO,NO,Mombacho,Nicaragua,Nicaragua,11.83,-85.97,1344,Stratovolcano,1001
1576,,,NO,NO,Colima,Mexico,Mexico,19.51,-103.62,3850,Stratovolcano,400
1580,5,1,NO,NO,San Jorge,Azores,Portugal,38.65,-28.08,1053,Fissure vent,
1580,8,11,NO,NO,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,10
1580,,,NO,NO,Billy Mitchell,Bougainville-SW Paci,Papua New Guinea,-6.09,155.23,1544,Pyroclastic shield,
1581,12,26,NO,NO,Fuego,Guatemala,Guatemala,14.47,-90.88,3763,Stratovolcano,
1586,,,NO,NO,Kelut,Java,Indonesia,-7.93,112.31,1731,Stratovolcano,
1587,,,NO,NO,Merapi,Java,Indonesia,-7.54,110.44,2947,Stratovolcano,10000
1590,1,15,NO,NO,Colima,Mexico,Mexico,19.51,-103.62,3850,Stratovolcano,
1593,,,NO,NO,Raung,Java,Indonesia,-8.13,114.04,3332,Stratovolcano,
1595,3,12,NO,NO,Ruiz,Colombia,Colombia,4.90,-75.32,5321,Stratovolcano,
1596,5,1,NO,NO,Asama,Honshu-Japan,Japan,36.40,138.53,2560,Complex volcano,636
1597,1,3,NO,NO,Hekla,Iceland-S,Iceland,63.98,-19.70,1491,Stratovolcano,
1597,,,NO,NO,Raung,Java,Indonesia,-8.13,114.04,3332,Stratovolcano,
1598,5,13,NO,NO,Asama,Honshu-Japan,Japan,36.40,138.53,2560,Complex volcano,
1598,,,NO,NO,Banda Api,Banda Sea,Pacific Ocean,-4.53,129.87,640,Caldera,800
1600,2,19,NO,YES,Huaynaputina,Peru,Peru,-16.61,-70.85,4850,Stratovolcano,
1606,1,23,YES,NO,Hachijo-jima,Izu Is-Japan,Japan,33.13,139.77,854,Stratovolcano,1500
1608,7,18,YES,NO,Gamalama,Halmahera-Indonesia,Indonesia,0.80,127.33,1715,Stratovolcano,
1609,,,NO,NO,Tengchong,China-S,China,25.32,98.47,2865,Pyroclastic cone,
1615,3,,NO,NO,Banda Api,Banda Sea,Pacific Ocean,-4.53,129.87,640,Caldera,
1617,,,NO,NO,Fuego,Guatemala,Guatemala,14.47,-90.88,3763,Stratovolcano,
1625,9,2,NO,NO,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,
1629,,,NO,NO,Grimsvotn,Iceland-NE,Iceland,64.42,-17.33,1725,Caldera,
